S 350e50,4 hit 
S 350e54,4 hit 
S 350e58,4 hit 
S 350e5c,4 hit 
L 30f5b8,4 hit 
L 30f6b8,4 hit 
L 30f7b8,4 hit 
L 30f8b8,4 hit 
S 350f50,4 hit 
S 350f54,4 hit 
S 350f58,4 hit 
S 350f5c,4 hit 
L 30f5bc,4 hit 
L 30f6bc,4 hit 
L 30f7bc,4 hit 
L 30f8bc,4 hit 
S 351050,4 hit 
S 351054,4 hit 
S 351058,4 hit 
S 35105c,4 hit 
L 30f1c0,4 miss 
L 30f1c4,4 hit 
L 30f1c8,4 hit 
L 30f1cc,4 hit 
L 30f1d0,4 hit 
L 30f1d4,4 hit 
L 30f1d8,4 hit 
L 30f1dc,4 hit 
S 351140,4 miss eviction 
S 351240,4 miss eviction 
S 351340,4 miss eviction 
S 351440,4 miss eviction 
S 351150,4 hit 
S 351250,4 hit 
S 351350,4 hit 
S 351450,4 hit 
L 30f2c0,4 miss 
L 30f2c4,4 hit 
L 30f2c8,4 hit 
L 30f2cc,4 hit 
L 30f2d0,4 hit 
L 30f2d4,4 hit 
L 30f2d8,4 hit 
L 30f2dc,4 hit 
S 351144,4 hit 
S 351244,4 hit 
S 351344,4 hit 
S 351444,4 hit 
S 351154,4 hit 
S 351254,4 hit 
S 351354,4 hit 
S 351454,4 hit 
L 30f3c0,4 miss 
L 30f3c4,4 hit 
L 30f3c8,4 hit 
L 30f3cc,4 hit 
L 30f3d0,4 hit 
L 30f3d4,4 hit 
L 30f3d8,4 hit 
L 30f3dc,4 hit 
S 351148,4 hit 
S 351248,4 hit 
S 351348,4 hit 
S 351448,4 hit 
S 351158,4 hit 
S 351258,4 hit 
S 351358,4 hit 
S 351458,4 hit 
L 30f4c0,4 miss 
L 30f4c4,4 hit 
L 30f4c8,4 hit 
L 30f4cc,4 hit 
L 30f4d0,4 hit 
L 30f4d4,4 hit 
L 30f4d8,4 hit 
L 30f4dc,4 hit 
S 35114c,4 hit 
S 35124c,4 hit 
S 35134c,4 hit 
S 35144c,4 hit 
S 35115c,4 hit 
S 35125c,4 hit 
S 35135c,4 hit 
S 35145c,4 hit 
L 351150,4 hit 
L 351154,4 hit 
L 351158,4 hit 
